,parcelid,bathroomcnt,bedroomcnt,calculatedfinishedsquarefeet,fips,yearbuilt,taxvaluedollarcnt,taxamount,propertylandusetypeid
23,12814323,2.0,3.0,1632.0,6037.0,1970.0,499402.0,5921.67,261.0
24,10976131,3.0,3.0,2768.0,6037.0,1951.0,151340.0,2373.63,261.0
25,12057023,3.0,3.0,2392.0,6037.0,1963.0,845708.0,9310.38,261.0
26,11187927,2.0,3.0,1088.0,6037.0,1955.0,130679.0,2228.31,261.0
27,11451345,2.0,3.0,1157.0,6037.0,1954.0,85692.0,1147.37,261.0
28,10984661,2.0,3.0,1386.0,6037.0,1957.0,52560.0,777.51,261.0
29,12196319,1.0,2.0,728.0,6037.0,1921.0,75227.0,1471.8,261.0
30,11367981,2.0,3.0,1191.0,6037.0,1935.0,164685.0,2169.02,261.0
31,11312124,2.0,3.0,1358.0,6037.0,1991.0,168626.0,3107.95,261.0
32,12035592,3.0,5.0,4048.0,6037.0,1922.0,2673077.0,32411.31,261.0
33,13071085,3.0,4.0,2291.0,6037.0,1980.0,397616.0,5284.09,261.0
34,10732347,2.0,4.0,2115.0,6037.0,1960.0,115306.0,1613.84,261.0
35,10722858,2.0,4.0,1570.0,6037.0,1960.0,373282.0,4619.79,261.0
36,12114701,1.0,2.0,918.0,6037.0,1908.0,374368.0,4406.57,261.0
37,13083743,2.0,3.0,1050.0,6037.0,1960.0,259334.0,3345.78,261.0
38,17086759,2.0,3.0,1373.0,6111.0,1957.0,62048.0,703.0,261.0
39,13921492,2.0,4.0,1485.0,6059.0,1959.0,63338.0,974.9,261.0
40,11969146,1.0,3.0,1716.0,6037.0,1928.0,44455.0,690.81,261.0
41,12178305,3.0,5.0,3048.0,6037.0,1967.0,1150000.0,12741.62,261.0
42,11289757,2.0,3.0,2092.0,6037.0,1956.0,217006.0,3221.12,261.0
43,11961462,1.0,2.0,1184.0,6037.0,1927.0,46336.0,603.88,261.0
44,12492881,2.0,3.0,1569.0,6037.0,1954.0,73054.0,1206.4,261.0
45,12285822,2.0,2.0,1069.0,6037.0,1938.0,44826.0,997.56,261.0
46,12519794,2.0,4.0,1382.0,6037.0,1953.0,185483.0,2414.53,261.0
47,14092694,2.0,3.0,1255.0,6059.0,1955.0,188730.0,2586.54,261.0
48,12749741,2.0,3.0,1285.0,6037.0,1954.0,82374.0,1315.15,261.0
49,11797465,1.0,2.0,865.0,6037.0,1906.0,280000.0,3458.73,261.0
50,11733550,1.0,4.0,1356.0,6037.0,1925.0,37019.0,532.7,261.0
51,10779619,3.0,3.0,2057.0,6037.0,1968.0,639607.0,2562.42,261.0
52,11917650,3.0,4.0,1502.0,6037.0,1926.0,257446.0,3366.73,261.0
53,14012730,1.5,4.0,1973.0,6059.0,1958.0,80102.0,1148.76,261.0
54,14430658,0.0,0.0,,6059.0,,5346951.0,82484.04,261.0
55,11830465,1.0,3.0,1308.0,6037.0,1930.0,219078.0,3108.41,261.0
56,17165634,2.0,6.0,2526.0,6111.0,1950.0,94344.0,1082.46,261.0
57,10811539,4.0,4.0,2806.0,6037.0,1967.0,708607.0,8760.58,261.0
58,12048224,1.0,3.0,1260.0,6037.0,1923.0,466127.0,5151.64,261.0
59,14010551,1.0,3.0,1934.0,6059.0,1939.0,382158.0,4781.2,261.0
60,12811794,1.0,2.0,959.0,6037.0,1923.0,66488.0,1246.35,261.0
61,11999890,0.0,0.0,,6037.0,,2578702.0,30456.4,260.0
62,12347492,2.0,3.0,1560.0,6037.0,1954.0,465101.0,5826.88,261.0
63,12941764,2.0,3.0,1353.0,6037.0,1956.0,246816.0,3378.03,261.0
64,10871677,1.0,3.0,1102.0,6037.0,1955.0,206623.0,2601.94,261.0
65,14257065,1.5,2.0,1080.0,6059.0,1964.0,137444.0,1929.18,261.0
66,11499751,3.0,5.0,2259.0,6037.0,1964.0,119245.0,1562.52,261.0
67,11603473,3.0,4.0,3588.0,6037.0,1951.0,142693.0,2007.31,261.0
68,11958628,1.0,3.0,927.0,6037.0,1910.0,46933.0,588.64,261.0
69,12118682,2.0,4.0,2121.0,6037.0,1924.0,74714.0,1128.2,261.0
70,11056104,3.0,3.0,1572.0,6037.0,1961.0,404060.0,4934.43,261.0
71,11503172,3.0,4.0,3041.0,6037.0,1949.0,245311.0,2963.65,261.0
72,11993956,2.0,3.0,1692.0,6037.0,1923.0,649169.0,8063.11,261.0
73,11054736,2.0,4.0,1611.0,6037.0,1956.0,89640.0,1144.73,261.0
74,11206210,2.0,2.0,1078.0,6037.0,1985.0,124006.0,2290.48,261.0
75,12563708,2.0,3.0,1476.0,6037.0,1948.0,58143.0,881.04,261.0
76,13857433,1.0,2.0,1387.0,6059.0,1951.0,280967.0,3401.88,261.0
77,13839883,2.0,3.0,1426.0,6059.0,1955.0,364081.0,4409.28,261.0
78,11206381,3.0,3.0,1732.0,6037.0,1986.0,174459.0,3028.09,261.0
79,12482839,2.0,4.0,1622.0,6037.0,1951.0,300777.0,3912.97,261.0
80,14054846,1.5,3.0,1122.0,6059.0,1963.0,199838.0,2418.9,261.0
81,13989370,1.5,3.0,1125.0,6059.0,1955.0,84341.0,1195.28,261.0
82,14482667,3.5,4.0,3137.0,6059.0,1989.0,600238.0,6131.32,261.0
83,14286211,2.5,5.0,2531.0,6059.0,1968.0,122618.0,1694.88,261.0
84,10924250,1.0,3.0,1448.0,6037.0,1948.0,352291.0,4275.09,261.0
85,14174538,2.0,4.0,1560.0,6059.0,1963.0,311209.0,3729.48,261.0
86,10885672,2.0,4.0,1344.0,6037.0,1949.0,85677.0,1104.82,261.0
87,12484642,1.0,3.0,1122.0,6037.0,1950.0,444000.0,5548.73,261.0
88,12739947,2.0,2.0,1445.0,6037.0,1959.0,529000.0,6692.25,261.0
89,14472456,3.5,4.0,3259.0,6059.0,1992.0,901542.0,8724.3,261.0
90,11513448,6.0,5.0,3540.0,6037.0,1953.0,8000000.0,83955.53,261.0
91,13844056,1.0,3.0,1335.0,6059.0,1950.0,63192.0,1049.18,261.0
92,14053136,2.0,4.0,1914.0,6059.0,1963.0,414743.0,4729.32,261.0
93,14175466,4.0,3.0,3324.0,6059.0,1998.0,709615.0,7957.48,261.0
94,12846559,3.0,4.0,2610.0,6037.0,1995.0,710674.0,8752.83,261.0
95,13837417,1.0,2.0,987.0,6059.0,1937.0,357144.0,4253.64,261.0
96,14280254,1.0,2.0,1114.0,6059.0,1939.0,524529.0,6159.04,261.0
97,13842033,1.0,2.0,914.0,6059.0,1920.0,39917.0,789.28,261.0
98,14056849,3.0,4.0,1976.0,6059.0,1977.0,468642.0,5369.16,261.0
99,14173678,2.5,4.0,2101.0,6059.0,2001.0,567655.0,6772.14,261.0
100,12614763,2.0,3.0,1641.0,6037.0,1960.0,130161.0,1666.61,261.0
101,11206504,3.0,3.0,2149.0,6037.0,1989.0,211886.0,3441.14,261.0
102,13894337,3.5,3.0,4511.0,6059.0,2008.0,5422228.0,57183.3,261.0
103,10827194,2.0,4.0,1576.0,6037.0,1952.0,82375.0,1046.08,261.0
104,11289836,2.0,4.0,1700.0,6037.0,1969.0,194600.0,3099.72,261.0
105,11288389,2.0,4.0,1591.0,6037.0,1990.0,87378.0,1964.11,261.0
106,11166665,2.0,3.0,1530.0,6037.0,1980.0,465989.0,6345.94,261.0
107,13935796,2.5,4.0,2019.0,6059.0,1955.0,75126.0,1106.88,261.0
108,10957128,2.0,3.0,1205.0,6037.0,1946.0,443008.0,4865.23,261.0
109,11287385,2.0,4.0,1370.0,6037.0,1957.0,121927.0,2231.08,261.0
110,17208785,7.5,5.0,6278.0,6111.0,1998.0,1389230.0,15101.52,261.0
111,14100525,1.5,2.0,1142.0,6059.0,1974.0,192248.0,2341.24,261.0
112,12792562,2.0,3.0,1692.0,6037.0,1953.0,240173.0,3042.5,261.0
113,14224435,2.0,4.0,1909.0,6059.0,1962.0,551273.0,6043.06,261.0
114,10867744,4.0,6.0,4105.0,6037.0,1969.0,397335.0,5138.06,261.0
115,13909504,3.0,3.0,2323.0,6059.0,1985.0,426415.0,5043.06,261.0
116,12462465,2.0,2.0,1766.0,6037.0,1939.0,203113.0,2486.26,261.0
117,12265744,1.0,3.0,1493.0,6037.0,1951.0,304000.0,5363.37,261.0
118,14185262,2.0,4.0,1767.0,6059.0,1966.0,554788.0,6299.18,261.0
119,11033823,1.0,3.0,1014.0,6037.0,1949.0,329298.0,4132.95,261.0
120,12460440,1.0,2.0,1268.0,6037.0,1949.0,309098.0,3762.96,261.0
121,12752649,3.0,3.0,2020.0,6037.0,1957.0,120877.0,1801.99,261.0
122,14217005,2.5,3.0,1398.0,6059.0,1987.0,501586.0,5128.66,261.0
123,13973341,1.5,3.0,1463.0,6059.0,1955.0,47572.0,874.76,261.0
124,12400532,1.0,3.0,1135.0,6037.0,1951.0,405844.0,4956.25,261.0
125,12779665,3.0,3.0,1912.0,6037.0,1988.0,613000.0,7620.79,261.0
126,11553985,2.0,2.0,1581.0,6037.0,1941.0,526237.0,6513.41,261.0
127,11016174,2.0,4.0,1545.0,6037.0,1957.0,529000.0,6454.32,261.0
128,12767272,2.0,3.0,1612.0,6037.0,1941.0,240155.0,3904.88,261.0
129,10816453,3.0,3.0,2388.0,6037.0,1951.0,925806.0,11212.58,261.0
130,13955211,2.0,4.0,1975.0,6059.0,1963.0,273372.0,3669.92,261.0
131,11281518,2.0,2.0,1317.0,6037.0,1955.0,86578.0,1814.04,261.0
132,13963357,3.5,4.0,2802.0,6059.0,2014.0,1074416.0,14637.34,261.0
133,14195073,3.0,4.0,3099.0,6059.0,1986.0,921394.0,10782.16,261.0
134,12760933,2.0,3.0,1436.0,6037.0,1953.0,386000.0,4926.37,261.0
135,12760263,1.0,2.0,927.0,6037.0,1952.0,61223.0,1053.05,261.0
136,11280307,2.0,3.0,1094.0,6037.0,1957.0,101143.0,1975.25,261.0
137,12768887,1.0,2.0,796.0,6037.0,1951.0,250798.0,3397.37,261.0
138,11298368,2.0,3.0,1502.0,6037.0,1987.0,105149.0,2037.28,261.0
139,13951150,2.0,3.0,1427.0,6059.0,1972.0,304588.0,3878.36,261.0
140,11285800,2.0,4.0,1352.0,6037.0,1953.0,44559.0,1320.52,261.0
141,13941306,1.0,2.0,952.0,6059.0,1966.0,792910.0,10122.52,261.0
142,12268626,1.0,3.0,1236.0,6037.0,1910.0,258887.0,3524.58,261.0
143,11278514,2.0,4.0,1754.0,6037.0,1980.0,183000.0,2883.66,261.0
144,11792481,1.0,2.0,981.0,6037.0,1913.0,430000.0,5186.7,261.0
145,12756670,1.0,2.0,832.0,6037.0,1948.0,144102.0,2039.16,261.0
146,17059646,1.5,3.0,1396.0,6111.0,1957.0,565000.0,6760.46,261.0
147,11201145,1.0,3.0,983.0,6037.0,1954.0,43506.0,1407.67,261.0
148,11201591,2.0,3.0,1560.0,6037.0,1979.0,114760.0,2263.58,261.0
149,13950810,2.0,4.0,1527.0,6059.0,1964.0,61042.0,1193.1,261.0
150,11013055,2.0,3.0,1703.0,6037.0,1963.0,302612.0,3847.18,261.0
151,14066648,3.5,4.0,2637.0,6059.0,2000.0,933713.0,10429.92,261.0
152,12592021,2.0,3.0,1321.0,6037.0,1954.0,460811.0,5789.85,261.0
153,11202454,2.0,4.0,2048.0,6037.0,2006.0,213244.0,3183.54,261.0
154,10969383,2.0,3.0,864.0,6037.0,1947.0,260056.0,3303.91,261.0
155,12213784,1.0,2.0,992.0,6037.0,1925.0,20865.0,769.33,261.0
156,14252582,2.5,3.0,904.0,6059.0,1948.0,162456.0,2079.52,261.0
157,11312166,2.0,3.0,1569.0,6037.0,1991.0,125729.0,2317.52,261.0
158,13867661,2.0,4.0,2044.0,6059.0,1955.0,81779.0,1156.38,261.0
159,17222974,5.5,3.0,4361.0,6111.0,1999.0,1562700.0,17692.72,261.0
160,12023868,2.0,3.0,1950.0,6037.0,1951.0,1218072.0,14800.5,261.0
161,17294157,3.0,4.0,2846.0,6111.0,1977.0,269273.0,3630.68,261.0
162,12473881,2.0,3.0,1214.0,6037.0,1955.0,473134.0,5888.55,261.0
163,12252417,1.0,3.0,1083.0,6037.0,1948.0,55040.0,932.45,261.0
164,10750812,3.0,4.0,2215.0,6037.0,1990.0,529990.0,6365.65,261.0
165,11213714,2.0,3.0,1202.0,6037.0,1991.0,179483.0,3339.17,261.0
166,17290244,2.5,4.0,2542.0,6111.0,1978.0,1090401.0,11660.16,261.0
167,12836830,2.0,3.0,1464.0,6037.0,1955.0,246454.0,3174.63,261.0
168,12480709,1.0,2.0,848.0,6037.0,1942.0,67166.0,1073.92,261.0
169,12179610,3.0,4.0,2800.0,6037.0,1934.0,191531.0,2317.69,261.0
170,11860038,3.0,5.0,2266.0,6037.0,2005.0,690000.0,8562.89,261.0
171,11270112,2.0,3.0,2020.0,6037.0,1985.0,222638.0,3433.82,261.0
172,14486421,2.5,5.0,2882.0,6059.0,1973.0,395169.0,3946.7,261.0
173,12741391,2.0,3.0,1573.0,6037.0,1958.0,286985.0,3843.2,261.0
174,11315088,2.0,3.0,1223.0,6037.0,1991.0,158313.0,2701.1,261.0
175,11646891,2.0,4.0,1904.0,6037.0,1951.0,1656855.0,19849.65,261.0
176,12082610,1.0,2.0,1104.0,6037.0,1923.0,44435.0,510.56,261.0
177,10818262,3.0,3.0,2240.0,6037.0,1978.0,670065.0,8868.14,261.0
178,12273512,1.0,2.0,699.0,6037.0,1949.0,176038.0,2533.45,261.0
179,14241975,2.0,4.0,1698.0,6059.0,1973.0,296484.0,3337.5,261.0
180,17187503,2.0,3.0,2170.0,6111.0,1980.0,257517.0,2846.28,261.0
181,12811897,1.0,1.0,490.0,6037.0,1951.0,124890.0,1722.75,261.0
182,17129832,3.0,6.0,2901.0,6111.0,1997.0,425115.0,4842.42,261.0
183,12747257,1.0,2.0,1008.0,6037.0,1950.0,407000.0,5246.44,261.0
184,17161340,2.0,6.0,2333.0,6111.0,1997.0,350917.0,4185.86,261.0
185,14503257,2.0,3.0,1120.0,6059.0,1976.0,504579.0,5217.8,261.0
186,11276186,3.0,4.0,1914.0,6037.0,1997.0,166190.0,2772.24,261.0
187,10808702,1.0,3.0,1299.0,6037.0,1952.0,543654.0,6679.8,261.0
188,13903594,3.0,4.0,2758.0,6059.0,2005.0,659912.0,8972.64,261.0
189,13977892,3.0,4.0,1972.0,6059.0,2002.0,629875.0,7123.64,261.0
190,13905056,2.0,3.0,1112.0,6059.0,1955.0,55304.0,877.82,261.0
191,14227765,2.5,4.0,1704.0,6059.0,1974.0,280520.0,3172.52,261.0
192,12464212,1.0,2.0,1680.0,6037.0,1920.0,856000.0,10119.9,261.0
193,17051583,2.0,4.0,2151.0,6111.0,1975.0,1234000.0,13636.8,261.0
194,11532991,2.0,2.0,1686.0,6037.0,2005.0,1395968.0,16760.44,261.0
195,12471532,1.0,3.0,1180.0,6037.0,1952.0,508000.0,6211.15,261.0
196,12075306,6.0,5.0,7003.0,6037.0,2002.0,4370651.0,47861.25,261.0
197,17071003,2.0,3.0,1800.0,6111.0,1962.0,707681.0,7398.92,261.0
198,13981009,3.0,5.0,2897.0,6059.0,1964.0,234513.0,2735.12,261.0
199,12817483,2.0,4.0,1898.0,6037.0,1964.0,501583.0,5874.19,261.0
200,12745547,1.0,3.0,883.0,6037.0,1953.0,116280.0,1871.05,261.0
201,11867912,1.0,2.0,1200.0,6037.0,1922.0,85317.0,1283.89,261.0
202,14237264,1.0,3.0,1201.0,6059.0,1954.0,56144.0,853.6,261.0
203,11966821,1.0,2.0,800.0,6037.0,1923.0,480000.0,5836.52,261.0
204,12190349,1.0,2.0,990.0,6037.0,1921.0,132080.0,1706.86,261.0
205,12273036,1.0,2.0,913.0,6037.0,1916.0,30223.0,878.45,261.0
206,11039885,2.0,3.0,1229.0,6037.0,1954.0,390912.0,4801.85,261.0
207,14501072,2.5,3.0,2461.0,6059.0,1997.0,753315.0,7367.22,261.0
208,11338161,4.0,4.0,3413.0,6037.0,2007.0,390000.0,4871.99,261.0
209,17083283,2.5,3.0,2568.0,6111.0,1973.0,742000.0,7801.04,261.0
210,12936527,3.0,3.0,1810.0,6037.0,1954.0,550000.0,6759.28,261.0
211,14089501,2.0,4.0,2020.0,6059.0,1964.0,296740.0,3761.44,261.0
212,14451614,1.0,2.0,1303.0,6059.0,1949.0,433607.0,5185.28,261.0
213,12380487,2.0,2.0,1386.0,6037.0,1952.0,57936.0,1288.57,261.0
214,14156920,4.5,5.0,3835.0,6059.0,2002.0,723980.0,10720.04,261.0
215,11263345,2.0,3.0,1407.0,6037.0,1972.0,51307.0,1240.09,261.0
216,13000325,3.0,3.0,1817.0,6037.0,2003.0,438372.0,6426.23,261.0
217,12124453,1.0,4.0,1170.0,6037.0,1925.0,40423.0,790.24,261.0
218,17172225,1.0,3.0,999.0,6111.0,1952.0,816420.0,9203.32,261.0
219,14336636,4.5,4.0,4254.0,6059.0,2007.0,1618814.0,17882.32,261.0
220,12896685,2.0,3.0,1511.0,6037.0,1963.0,424568.0,5064.2,261.0
221,14336696,5.5,6.0,5400.0,6059.0,1994.0,2317561.0,25593.0,261.0
222,14421501,3.5,3.0,5019.0,6059.0,1991.0,1245366.0,13267.26,261.0
223,11185483,3.0,7.0,3130.0,6037.0,2000.0,326341.0,5021.35,261.0
224,17193599,4.0,3.0,3735.0,6111.0,2003.0,974032.0,10689.72,261.0
225,13003913,2.0,3.0,1100.0,6037.0,1962.0,255693.0,4000.43,261.0
226,11073063,4.0,5.0,2590.0,6037.0,1956.0,446951.0,5509.97,261.0
227,11248913,2.0,3.0,1346.0,6037.0,1985.0,97327.0,1253.91,261.0
228,13049078,3.0,4.0,2274.0,6037.0,1972.0,261538.0,3403.26,261.0
229,12900424,2.0,3.0,1402.0,6037.0,1953.0,43233.0,811.99,261.0
230,11946092,2.0,2.0,1895.0,6037.0,1950.0,542048.0,6534.81,261.0
231,11857848,3.0,4.0,2468.0,6037.0,2005.0,685323.0,8212.36,261.0
232,11787436,1.0,0.0,740.0,6037.0,1899.0,188000.0,2399.69,261.0
233,11108685,2.0,4.0,2263.0,6037.0,1980.0,294410.0,4220.2,261.0
234,14376663,2.0,3.0,2149.0,6059.0,1966.0,74741.0,716.7,261.0
235,10846097,2.0,3.0,1736.0,6037.0,1942.0,88794.0,1135.51,261.0
236,12717246,2.0,4.0,1744.0,6037.0,1950.0,258581.0,3590.79,261.0
237,11001320,2.0,3.0,1380.0,6037.0,1962.0,194007.0,2360.45,261.0
238,12998502,2.0,3.0,1613.0,6037.0,1947.0,613000.0,8058.98,261.0
239,11678883,3.0,4.0,2547.0,6037.0,1966.0,239615.0,3942.91,261.0
240,14089018,2.0,3.0,1353.0,6059.0,1962.0,862962.0,9817.3,261.0
241,14389080,4.0,4.0,4561.0,6059.0,1981.0,1752796.0,18079.16,261.0
242,14044737,2.0,4.0,1606.0,6059.0,1969.0,848826.0,9582.38,261.0
243,14000922,2.0,4.0,1633.0,6059.0,1962.0,565666.0,7128.16,261.0
244,12413736,3.0,4.0,1934.0,6037.0,1971.0,737000.0,8338.72,261.0
245,14388331,2.5,4.0,1940.0,6059.0,1981.0,569544.0,5849.98,261.0
246,12731216,2.0,4.0,1994.0,6037.0,1955.0,549236.0,6871.02,261.0
247,11381373,1.0,3.0,1196.0,6037.0,1959.0,198127.0,2404.92,261.0
248,14342313,3.5,4.0,2737.0,6059.0,2003.0,943202.0,11951.56,261.0
249,14156172,2.5,3.0,2059.0,6059.0,2012.0,583935.0,7485.98,261.0
250,11757342,3.0,5.0,2626.0,6037.0,1921.0,92317.0,1292.36,261.0
251,11667870,2.0,4.0,1972.0,6037.0,1973.0,1707368.0,20585.62,261.0
252,12889363,2.0,2.0,913.0,6037.0,1983.0,133025.0,1823.27,261.0
253,11391305,1.0,3.0,1275.0,6037.0,1924.0,219653.0,3992.8,261.0
254,11392193,0.0,0.0,2276.0,6037.0,,101792.0,1609.95,261.0
255,12504131,1.0,2.0,942.0,6037.0,1912.0,326191.0,4022.66,261.0
256,12504405,1.0,2.0,836.0,6037.0,1980.0,295437.0,3645.14,261.0
257,11667272,3.0,3.0,2047.0,6037.0,1957.0,1863960.0,22539.45,261.0
258,14455986,2.0,3.0,1680.0,6059.0,1970.0,540921.0,5492.46,261.0
259,12313206,1.0,2.0,874.0,6037.0,1940.0,281385.0,3723.41,261.0
260,11203683,2.0,3.0,1359.0,6037.0,1971.0,130843.0,2441.08,261.0
261,12720469,2.0,3.0,1333.0,6037.0,1949.0,387238.0,5001.41,261.0
262,11663691,6.0,6.0,4135.0,6037.0,2013.0,4318177.0,51753.48,261.0
263,17113418,2.0,3.0,1240.0,6111.0,1961.0,455000.0,4792.36,261.0
264,11427902,2.0,2.0,1291.0,6037.0,1951.0,71419.0,1437.55,261.0
265,10850922,2.0,4.0,1533.0,6037.0,1956.0,654836.0,7942.88,261.0
266,12908998,3.0,4.0,2238.0,6037.0,1983.0,325341.0,4095.32,261.0
267,13022762,2.0,4.0,1100.0,6037.0,1954.0,395000.0,4887.85,261.0
268,11237179,3.0,3.0,2225.0,6037.0,2005.0,242000.0,5015.6,261.0
269,13034824,2.0,4.0,1567.0,6037.0,1966.0,515000.0,6200.92,261.0
270,12518552,2.0,3.0,1687.0,6037.0,1951.0,468104.0,5694.22,261.0
271,14145168,2.0,4.0,1861.0,6059.0,1962.0,725000.0,8124.14,261.0
272,17153405,4.0,3.0,3337.0,6111.0,2004.0,796324.0,14394.62,261.0
273,12630934,1.0,2.0,1081.0,6037.0,1941.0,193998.0,2425.65,261.0
274,14036322,2.0,4.0,1918.0,6059.0,1962.0,79646.0,1126.72,261.0
275,14436387,3.0,4.0,1480.0,6059.0,1985.0,354585.0,6739.28,261.0
276,10859517,5.0,4.0,3201.0,6037.0,1961.0,1708630.0,20688.55,261.0
277,14365560,3.0,4.0,3249.0,6059.0,1983.0,483407.0,4969.64,261.0
278,14363975,2.5,3.0,1488.0,6059.0,1986.0,579707.0,5991.9,261.0
279,12319747,2.0,3.0,1456.0,6037.0,1955.0,150348.0,1982.84,261.0
280,10780368,1.0,3.0,1122.0,6037.0,1952.0,395132.0,4809.79,261.0
281,14148752,2.0,4.0,1627.0,6059.0,1971.0,226874.0,2915.58,261.0
282,11484472,1.0,2.0,700.0,6037.0,1940.0,106916.0,1743.23,261.0
283,12429914,1.0,3.0,1066.0,6037.0,1950.0,490000.0,6077.74,261.0
284,12925936,2.0,3.0,1395.0,6037.0,1950.0,363459.0,4550.17,261.0
285,12698066,2.0,3.0,1568.0,6037.0,1955.0,107020.0,1338.87,261.0
286,13040361,2.0,3.0,1440.0,6037.0,1983.0,451786.0,5486.27,261.0
287,13044658,5.0,5.0,5218.0,6037.0,1996.0,1168139.0,13336.29,261.0
288,11260390,3.0,4.0,2348.0,6037.0,2007.0,201593.0,2553.06,261.0
289,17151317,2.0,3.0,1310.0,6111.0,1970.0,336927.0,3944.38,261.0
290,12155776,4.0,5.0,3064.0,6037.0,1956.0,945376.0,11206.16,261.0
291,14111615,1.5,3.0,1426.0,6059.0,1968.0,211762.0,2595.1,261.0
292,12701259,3.0,3.0,1802.0,6037.0,1958.0,122768.0,1801.68,261.0
293,14033434,2.0,4.0,2239.0,6059.0,1969.0,126166.0,1707.7,261.0
294,17241297,2.0,3.0,1465.0,6111.0,1978.0,650143.0,7356.2,261.0
295,17151776,2.0,4.0,1950.0,6111.0,1976.0,105131.0,1203.52,261.0
296,11111466,2.0,4.0,1624.0,6037.0,1976.0,267574.0,3713.98,261.0
297,14349626,2.5,3.0,1489.0,6059.0,1997.0,652227.0,7730.2,261.0
298,11684191,3.0,2.0,2419.0,6037.0,1957.0,5177672.0,59223.38,261.0
299,11184912,2.0,3.0,1218.0,6037.0,1993.0,141611.0,2644.92,261.0
300,14107423,2.5,4.0,1327.0,6059.0,1964.0,221072.0,2839.48,261.0
301,11655397,4.0,4.0,2791.0,6037.0,1948.0,1732657.0,20966.1,261.0
302,14108092,2.5,4.0,1748.0,6059.0,1966.0,462904.0,5528.32,261.0
303,11497349,5.0,4.0,3743.0,6037.0,2005.0,2278000.0,25241.34,261.0
304,14300226,2.0,3.0,1480.0,6059.0,1970.0,297965.0,3170.22,261.0
305,12390789,1.0,3.0,676.0,6037.0,1947.0,34328.0,914.46,261.0
306,14401101,1.0,3.0,973.0,6059.0,1937.0,354283.0,4473.68,261.0
307,11670323,3.0,4.0,3314.0,6037.0,1959.0,2083810.0,25096.78,261.0
308,11628304,3.0,3.0,2363.0,6037.0,1929.0,177242.0,2196.35,261.0
309,14299759,2.5,4.0,2477.0,6059.0,1989.0,644555.0,7377.5,261.0
310,10890671,2.0,2.0,884.0,6037.0,1924.0,276122.0,3417.67,261.0
311,11094116,2.0,3.0,1284.0,6037.0,1942.0,409000.0,5064.09,261.0
312,12864046,3.0,6.0,2375.0,6037.0,1962.0,610624.0,7274.21,261.0
313,12863981,4.0,5.0,3035.0,6037.0,1960.0,625734.0,7460.77,261.0
314,12956746,4.0,5.0,3971.0,6037.0,1998.0,750645.0,9891.19,261.0
315,10851064,2.0,4.0,1533.0,6037.0,1956.0,712000.0,8618.1,261.0
316,13089562,3.0,4.0,2131.0,6037.0,1984.0,804078.0,10008.31,261.0
317,14024601,2.0,4.0,1984.0,6059.0,1957.0,576979.0,6708.02,261.0
318,11454380,4.0,5.0,3437.0,6037.0,1962.0,630584.0,7949.88,261.0
319,12235261,2.0,2.0,1339.0,6037.0,1928.0,215448.0,2832.54,261.0
320,12953034,2.0,3.0,1186.0,6037.0,1949.0,49029.0,901.19,261.0
321,12102046,1.0,2.0,1082.0,6037.0,1921.0,314100.0,3731.14,261.0
322,12102046,1.0,2.0,1082.0,6037.0,1921.0,314100.0,3731.14,261.0
